Temperature_A,Data Month,Time
27.330927,200209,1030838400
26.62414,200210,1033430400
25.923548,200211,1036108800
24.808466,200212,1038700800
24.751734,200301,1041379200
27.19253,200302,1044057600
29.031336,200303,1046476800
29.375391,200304,1049155200
28.630365,200305,1051747200
27.526361,200306,1054425600
27.713709,200307,1057017600
27.92309,200308,1059696000
27.730799,200309,1062374400
26.698236,200310,1064966400
25.53802,200311,1067644800
24.100855,200312,1070236800
25.432947,200401,1072915200
27.16781,200402,1075593600
27.303614,200403,1078099200
28.280024,200404,1080777600
27.624018,200405,1083369600
27.343775,200406,1086048000
27.548212,200407,1088640000
27.936426,200408,1091318400
27.605982,200409,1093996800
26.640802,200410,1096588800
25.62243,200411,1099267200
25.07812,200412,1101859200
24.609522,200501,1104537600
26.469965,200502,1107216000
28.417444,200503,1109635200
29.350763,200504,1112313600
28.0617,200505,1114905600
27.575434,200506,1117584000
27.628107,200507,1120176000
27.572107,200508,1122854400
27.078577,200509,1125532800
26.382288,200510,1128124800
25.687616,200511,1130803200
25.126856,200512,1133395200
24.704737,200601,1136073600
27.231134,200602,1138752000
28.261896,200603,1141171200
28.505976,200604,1143849600
28.56338,200605,1146441600
27.490778,200606,1149120000
27.391352,200607,1151712000
27.752192,200608,1154390400
27.330317,200609,1157068800
26.506037,200610,1159660800
25.561975,200611,1162339200
24.177118,200612,1164931200
25.272303,200701,1167609600
27.009699,200702,1170288000
27.633936,200703,1172707200
28.652155,200704,1175385600
28.539087,200705,1177977600
27.778376,200706,1180656000
27.679438,200707,1183248000
27.559137,200708,1185926400
27.026087,200709,1188604800
26.211908,200710,1191196800
25.268732,200711,1193875200
25.408747,200712,1196467200
24.915003,200801,1199145600
26.76562,200802,1201824000
28.213861,200803,1204329600
28.777002,200804,1207008000
28.973139,200805,1209600000
27.39773,200806,1212278400
27.260736,200807,1214870400
27.569544,200808,1217548800
27.280298,200809,1220227200
25.695673,200810,1222819200
25.407434,200811,1225497600
24.650019,200812,1228089600
24.946375,200901,1230768000
26.341211,200902,1233446400
27.306421,200903,1235865600
28.951868,200904,1238544000
27.90594,200905,1241136000
27.910852,200906,1243814400
27.80044,200907,1246406400
27.635675,200908,1249084800
27.576227,200909,1251763200
26.7774,200910,1254355200
25.455256,200911,1257033600
25.26565,200912,1259625600
24.549646,201001,1262304000
26.607477,201002,1264982400
28.48971,201003,1267401600
28.313318,201004,1270080000
27.808558,201005,1272672000
27.742456,201006,1275350400
27.403528,201007,1277942400
27.23092,201008,1280620800
27.286737,201009,1283299200
26.25451,201010,1285891200
25.36175,201011,1288569600
24.466028,201012,1291161600
25.226526,201101,1293840000
26.584833,201102,1296518400
27.845484,201103,1298937600
28.984858,201104,1301616000
28.67547,201105,1304208000
27.677149,201106,1306886400
27.273066,201107,1309478400
27.7149,201108,1312156800
27.422083,201109,1314835200
26.148401,201110,1317427200
25.443811,201111,1320105600
24.295832,201112,1322697600
24.733088,201201,1325376000
26.529139,201202,1328054400
27.296045,201203,1330560000
28.241877,201204,1333238400
27.920588,201205,1335830400
28.064173,201206,1338508800
27.641016,201207,1341100800
27.685205,201208,1343779200
27.536676,201209,1346457600
26.563562,201210,1349049600
25.459192,201211,1351728000
25.661463,201212,1354320000
24.329187,201301,1356998400
27.373865,201302,1359676800
27.643763,201303,1362096000
28.896631,201304,1364774400
28.408197,201305,1367366400
27.59295,201306,1370044800
27.400537,201307,1372636800
27.547297,201308,1375315200
26.893793,201309,1377993600
26.506586,201310,1380585600
25.850275,201311,1383264000
24.867243,201312,1385856000
24.478632,201401,1388534400
26.187433,201402,1391212800
27.745508,201403,1393632000
28.730097,201404,1396310400
27.966516,201405,1398902400
27.583399,201406,1401580800
27.931208,201407,1404172800
28.102564,201408,1406851200
27.02096,201409,1409529600
26.163538,201410,1412121600
25.34588,201411,1414800000
24.71081,201412,1417392000
24.606958,201501,1420070400
26.77981,201502,1422748800
27.642725,201503,1425168000
28.89602,201504,1427846400
28.136072,201505,1430438400
27.399652,201506,1433116800
27.92016,201507,1435708800
28.668116,201508,1438387200
27.617487,201509,1441065600
26.587519,201510,1443657600
25.402094,201511,1446336000
24.916498,201512,1448928000
24.575464,201601,1451606400
25.670282,201602,1454284800
27.499384,201603,1456790400
28.608118,201604,1459468800
28.722956,201605,1462060800
27.821344,201606,1464739200
28.005426,201607,1467331200
27.901148,201608,1470009600
27.32168,201609,1472688000
26.50036,201610,1475280000
25.471674,201611,1477958400
25.007044,201612,1480550400
24.993525,201701,1483228800
26.702234,201702,1485907200
27.449945,201703,1488326400
28.536463,201704,1491004800
28.042688,201705,1493596800
27.595179,201706,1496275200
27.361109,201707,1498867200
27.500208,201708,1501545600
27.31579,201709,1504224000
26.163782,201710,1506816000
25.485437,201711,1509494400
24.380854,201712,1512086400
24.101221,201801,1514764800
25.600489,201802,1517443200
27.94491,201803,1519862400
28.488459,201804,1522540800
28.123621,201805,1525132800
27.571192,201806,1527811200
27.995142,201807,1530403200
27.689081,201808,1533081600
27.311762,201809,1535760000
26.38656,201810,1538352000
26.055567,201811,1541030400
24.399805,201812,1543622400
25.025629,201901,1546300800
26.631403,201902,1548979200
27.786615,201903,1551398400
28.523493,201904,1554076800
28.072687,201905,1556668800
28.026728,201906,1559347200
27.945673,201907,1561939200
28.132257,201908,1564617600
27.491785,201909,1567296000
26.67196,201910,1569888000
25.717188,201911,1572566400
24.901148,201912,1575158400
24.798883,202001,1577836800
26.331263,202002,1580515200
26.932459,202003,1583020800
29.24795,202004,1585699200
28.324518,202005,1588291200
27.84292,202006,1590969600
28.085505,202007,1593561600
27.716272,202008,1596240000
27.499659,202009,1598918400
26.503534,202010,1601510400
25.409449,202011,1604188800
24.471094,202012,1606780800
24.322992,202101,1609459200
26.24682,202102,1612137600
27.14477,202103,1614556800
28.00448,202104,1617235200
28.06759,202105,1619827200
27.828058,202106,1622505600
27.885126,202107,1625097600
27.655725,202108,1627776000
27.391962,202109,1630454400
26.710413,202110,1633046400
24.981592,202111,1635724800
24.498621,202112,1638316800
24.533594,202201,1640995200
25.165552,202202,1643673600
26.875818,202203,1646092800
28.066797,202204,1648771200
27.989985,202205,1651363200
27.26153,202206,1654041600
27.606165,202207,1656633600
27.563684,202208,1659312000
26.981684,202209,1661990400
26.492853,202210,1664582400
25.398584,202211,1667260800
23.945673,202212,1669852800
24.116083,202301,1672531200
25.430475,202302,1675209600
27.783045,202303,1677628800
28.905146,202304,1680307200
28.921503,202305,1682899200
28.419428,202306,1685577600
27.33697,202307,1688169600
27.718073,202308,1690848000
27.456202,202309,1693526400
26.077387,202310,1696118400
24.814783,202311,1698796800
23.352533,202312,1701388800
24.32812,202401,1704067200
25.737207,202402,1706745600
28.031427,202403,1709251200
28.626368,202404,1711929600
29.111689,202405,1714521600
27.248285,202406,1717200000
